1;М;1
7;МО;1
8;МО;2
9;МО;3
3;МО;4
1;МО;5
5;МО;6
4;МО;7
5;МО;8
3;МО;9
7;МО;10
3;МО;11
12;МО;12
41;МО;13
1;МО;16
17;МО;17
35;МО;18
1;МО;20
14;МО;21
9;МО;22
5;МО;23
9;МО;24
37;МО;25
3;МО;27
34;МО;28
6;МО;29
20;МО;30
13;МО;31
2;МО;32
24;МО;33
42;МО;34
30;МО;35
4;МО;36
11;МО;37
16;МО;38
11;МО;39
15;МО;40
7;МО;41
2;МО;42
11;МО;43
41;МО;44
1;МО;45
25;МО;46
5;МО;47
7;МО;49
5;МО;50
33;МО;51
32;МО;52
9;МО;53
7;МО;54
19;МО;55
4;МО;56
24;МО;59
10;М;101
10;М;102
10;М;103
10;М;104
10;М;105
10;М;106
10;М;107
10;М;108
10;М;109
10;М;110
12;МО;112
1;МО;116
2;МО;132
15;МО;140
5;МО;150
32;МО;152
4;МО;156
5;М;201
5;М;202
5;М;203
5;М;205
5;М;206
5;М;207
5;М;208
5;М;209
5;М;210
5;М;211
5;М;212
5;М;213
5;М;214
5;М;215
5;М;216
3;МО;227
6;М;301
6;М;302
6;М;303
6;М;304
6;М;305
6;М;306
6;М;307
6;М;308
6;М;309
6;М;310
6;М;311
6;М;312
6;М;314
6;М;315
6;М;316
6;М;317
6;М;318
3;МО;327
7;М;401
7;М;402
7;М;403
7;М;404
7;М;405
7;М;407
7;М;408
7;М;409
7;М;411
7;М;412
7;М;413
7;М;414
7;М;415
3;МО;427
3;М;501
3;М;502
3;М;504
3;М;505
3;М;506
3;М;507
3;М;508
3;М;509
3;М;510
3;М;511
3;М;512
3;М;513
3;МО;527
8;М;601
8;М;602
8;М;603
8;М;604
8;М;605
8;М;606
8;М;607
8;М;608
8;М;609
8;М;610
8;М;611
8;М;612
8;М;613
8;М;614
8;М;616
8;М;617
4;М;701
4;М;702
4;М;703
4;М;705
4;М;707
4;М;708
4;М;709
4;М;710
4;М;711
4;М;712
4;М;713
4;М;714
4;М;715
4;М;716
4;М;717
2;М;801
2;М;802
2;М;803
2;М;805
2;М;807
2;М;812
2;М;813
2;М;815
9;М;901
9;М;902
9;М;903
9;М;904
9;М;905
9;М;906
9;М;907
12;МО;912
